Tanggal,Komentar
2023-09-25T11:15:44Z,Atur aja zul....
2023-09-25T11:15:37Z,Alhamdulillh
2023-09-25T11:15:29Z,SETUJU
2023-09-25T11:15:20Z,"ini yg dinamakan , bayar pajak anda aman !!! tiktok shop gak bayar pajak , makanya gini ?!"
2023-09-25T11:15:20Z,Kena satu kena semua 😂
2023-09-25T11:15:19Z,ada kali tujuh tahun ogut gak pernah beli barang di offline..paling sembako doang kadang beli offline
2023-09-25T11:15:15Z,Dari dulu dong kmn aja 🙊
2023-09-25T11:15:15Z,Mantap pak👍
2023-09-25T11:15:09Z,Gak punya teknologi mau jual elektronik tahun 2020 2023
2023-09-25T11:15:07Z,"Ga ngerti barang di tiktod bisa murah banget, kemaren iseng coba beli tepak makan cuman Rp 900 (sembilan ratus rupiah), dan... Beneran dikirim real. 
Gila itu gmn itung2annya"
2023-09-25T11:14:57Z,Coba kita lihat tiktok di tutup apa tanah abang nya rame lg hahahahaha
2023-09-25T11:14:55Z,"aku sih yes, tiktok itu bagusnya cuma boleh kaya media iklan jangan tempat untuk jualan."
2023-09-25T11:14:54Z,Pabrik juga ga bole ikut jualan harus nya
2023-09-25T11:14:47Z,Sewa ruko mahal pk
2023-09-25T11:14:33Z,Ujungn2nya pasti masalah duit nih😂😂😂😂😂
2023-09-25T11:14:23Z,Kenapa Tiktok nya aja skalian di blok ya?
2023-09-25T11:14:17Z,goblok
2023-09-25T11:13:52Z,Tidak ada gunanya tik tok shop di larang krn masyarakat sekarang emang sukanya belanja online
2023-09-25T11:13:52Z,Bukan tiktok shop nya yg ditutup tapi barang yg bisa di jual yg di atur ... kalo ada barang dalam negeri kenapa pake barang LN .. Tiktok shop itu kan sarana saja ... 😂😂😂😂
2023-09-25T11:13:51Z,"Rumus

Rame = Daya Beli Masyarakat Tinggi = Ekonomi Baik

Sepi = Daya Beli Masyarakat Lemah = Ekonomi Tidak Baik

Perbaikan nya apa coba"
2023-09-25T11:13:43Z,"saya pedagang offline dan saya percaya rejeki sudah ada yg mengatur. Sebenernya ga perlu di tutup cukup kasih regulasi dan aturan yang jelas, agar bisa bersaing dan berjalan secara sehat antara pedagang online ataupun offline tinggal konsumennya sendiri yang memilih. 

tapi kalo seperti dulu dengan harga 100rb dpt kaos 5 - 10 pcs itu jelas ngebunuh kita pedagang offline. Kita disini bayar pajak, bayar karyawan, bayar listrik, dan bayar bayar yang lainnya yang berhubungan dengan ekonomi mikro, dengan bersaing yang ga sehat apa yang mau kita dpt..?"
2023-09-25T11:13:43Z,Perdagangan online bikin bangkrut pasar
2023-09-25T11:13:41Z,Masih eksis tiktok shopnya...
2023-09-25T11:13:41Z,"saya tidak bisa bahasa rusia
Tapi saya paksakan"
2023-09-25T11:13:39Z,"Alhamdulillah di tiktok shop dilarang, kasian para pedagang di pasar seperti tanah Abang yg dulu rame sekarang kena dampaknya"
2023-09-25T11:13:31Z,Llagi ngawadul mereka .wkwkkw
2023-09-25T11:13:20Z,boomer kalo dikasih jabatan ya gini
2023-09-25T11:13:18Z,"Selanjutnya Shopee,"
2023-09-25T11:13:05Z,Salah nih harus y yg dibatasi product import y
2023-09-25T11:12:58Z,Alhamdulillah udah denger bocoran dr mendag sblumnya di podcast deryansha kasisolusi
2023-09-25T11:12:57Z,"Itu kan produk sekutu pemerintah juga yg melegalkan aplikasi ini di Indonesia ,coba klo di hapus atau di blok khusus Indonesia apakah bisa"
2023-09-25T11:12:47Z,Emang mantab mentri ini klo menghabisi rakyat kecil koq bangga minta ampun
2023-09-25T11:12:46Z,Seperti kata pepatah mengikuti perubahan atau digilas oleh perubahan itu sendiri . Dulu kalian umkm ambil barang di IKM mencekik leher dengan sistem B to B sekarang kami IKM  produksi sendiri langsung bisa jual sendiri di online B to C. Makanya jangan suka nawar produk kami dengan murah.
2023-09-25T11:12:40Z,Para pejabat yang mengurus masalah beginian beneran orang-orang yang mengerti dan punya integritas nggak sih sebenarnya?
2023-09-25T11:12:34Z,Tiktok nyayang harus dilarang banysk berita hoax nya
2023-09-25T11:12:23Z,"Terlalu reaktif ini,.justru banyak UKM baru bertumbh dari sana..yg konvensional pun beralih ke online,..kita mundur lagi ini berarti.capek mesti nawar nawar ,pedagang jualan harga gak ngotak mhl nya..lucu nya negri ini"
2023-09-25T11:12:22Z,Klw shopee lazada tokopedia juga banyak tuh barang2 yang impor
2023-09-25T11:12:07Z,Mari kita belanja online lebih hemat g ribet
2023-09-25T11:11:59Z,"Sebetulnya mau dilarangpun pasar konvensional tetap akan sepi ,karna masyarakat sekarang lebih cenderung belanja online"
2023-09-25T11:11:59Z,Modiyar 😂
2023-09-25T11:11:56Z,"Mentri perdagangan yang ga ngerti perdagangan.

1. Justru dengan adanya online shop, banyak UMKM terbantu. Tanpa modal tempat, display toko, gaji karyawan, dsb. 
3.Produk UMKM banyak yang bisa tembus pasar ekspor karena medsos seperti tiktok, bukan hanya marketplace lokal.
3. Pak mentri lebih peduli pada PEMILIK MALL, yang sekarang ini banyak kios kosong akibat pedagang lebih memilih jualan online
4. Syarat impor barang, tidak wajib sertifikat halal. Masa impor kerupuk kulit babi harus sertifikasi halal?😂"
2023-09-25T11:11:55Z,Kalo belamja offline kdg2 nawarin harga selangit giliran ditawar ..berantem.😅😅😅
2023-09-25T11:11:55Z,"Aturan kocak , tik tok shop cuma media promosi dan ujung2nya di arahin ke aplikasi lain (shopee,tokped,lazada,dll) . Lambat laun akan bermunculan aplikasi e-commerce yg lebih murah. 
Harusnya regulasi di e-commerce pun harus di ubah, penjualan di e-commerce hanya menjual barang satuan dgn harga sesuai standar eceran sehingga toko grosir offline tetap bisa menjual harga di bawah yg ditawarkan 
Karena harga2 yg ditawarkan di online masih lebih murah dibanding harga di toko offline, itu yg membuat toko offline menjadi kalah saing meskipun barangnya lokal"
2023-09-25T11:11:55Z,Rezimnya dungu. Rakyatnya juga dungu. Ga kuat ngelawan kemajuan zaman. Wkwkwjwjwj
2023-09-25T11:11:55Z,😂😂😂😂😂😂LUCUUUU JUL KIPLON INI TIKTOK DISALAHAN PASAR SEPIIIIII😂😂😂😂😂😂😂TIKTOK JADI KAMBING HITAM BUKAN KASIH SOLUSI SEWAAAAN KIOS DIKASIH SUBSIDI ATAU GIMANA JALAN SUPAYA PASAR RAMEEEEE😂😂😂😂😂😂JNGN NYALAHIN TIKTOK😂😂😂😂😂😂
2023-09-25T11:11:38Z,Bagus lah saya di tiktok beli  mejikom dapatnya gantungan kunci
2023-09-25T11:11:35Z,Penjol lebih parah pak kenapa tdk di tutup juga
2023-09-25T11:11:13Z,Siap siap saham goto naik
2023-09-25T11:10:44Z,Malah tambah parah orang2 pandai ngatur ini
2023-09-25T11:10:36Z,"Aturan yg GK bermanfaat, urus saja kasus Rempang dan bela hak rakyat baru itu bermanfaat dunia akhirat"
2023-09-25T11:10:24Z,Alah .makin parah
2023-09-25T11:10:21Z,kiamat online.... mulai merebak.. bagi yg melanggar
2023-09-25T11:10:15Z,"beli kaos di cipulir harga grosir 19rb,ekh di shopee ada  barang yg sama dengan harga 17rb.mau kayak mana coba? wkwkwkw"
2023-09-25T11:10:06Z,"Sekarang sdh zaman IT, kenapa Indonesia harus kembali ke zaman baheula?"
2023-09-25T11:10:05Z,"Harusnya regulasi dibuat, bukan asal dilarang, nanti kita ketinggalan kalau tidak mengikuti kemajuan teknologi"
2023-09-25T11:10:03Z,Hoteee tik tok kembali ke semula isinya joged2 lagi. Makasih pemerintah
2023-09-25T11:09:54Z,menteri kok permendag nya nggak ingat😅😅
2023-09-25T11:09:37Z,Percayalah ini request dari kaum kapitalis yang memiliki properti!!!!!
2023-09-25T11:09:20Z,"Tanah abang banyak premannya, parkirannya ribet. Macet banget. Abisin bensin. Mending belanja onlinelah. Benahin dulu tanah abangnya"
2023-09-25T11:09:14Z,"Anjing, dikira yg jd rakyat cuman yg punya umkm. Yg blanja jg rakyat, salahnya kok g bisa bikin brg bersaing. Bodoh kok dipelihara"
2023-09-25T11:09:00Z,Alhamdulilah pemerintah kali ini sangat bijak.
2023-09-25T11:08:44Z,barang murang membantu kami msyarakat kecil.... harus nya di pikir panjang untuk mem buat kebijakan ....
2023-09-25T11:08:42Z,Sebagai orang daerah saya sangat terbantu dengan adanya TikTok shop...mau apa saja gampang
2023-09-25T11:08:41Z,Ini mentri sudah duduk bareng para pelaku ya? kok main larang sanksi. Ini era digital.
2023-09-25T11:08:32Z,"Zaman udah berubah pak. Sekarang udah sistem digital. 
Ada2 aja."
2023-09-25T11:08:24Z,"Shopee,tokopedia dan lazada be like : hehe....."
2023-09-25T11:08:05Z,"Lebih enak sih belanja online sama aja jita belanja di mall lebih banyak keluar duit belum ongkos ,makan kalau gak punya kendaraan belum yg lainnya,kalau online tidak perlu keluar duit banyak dan mempermudah kita juga dan barang murah suka ada diskon,duduk manis  tak perlu bercapek capek barang sudah datang terima di tempat"
2023-09-25T11:08:03Z,Kalau perlu ban tiktoknya dari indonesia pak
2023-09-25T11:08:02Z,Ini baru benerr...!! Mantapp Banned tiktok
2023-09-25T11:07:35Z,Menurut sy ini peraturan muncul karena pemerinta terlalu reaktif setelah adanya raoat dengar jejak pendapat dgn dpr. Seharusnya sebelum aturan dibuat dipertimbangkan matang2 akan selalu ada cara agar kita bisa memproteksi pelaku usaha mikro tanpa membabibuta menebang semua potensi digitalisasi ekonomi. Pelaku indsutri kreatif jg sgt banyak yg muncul karena pengaruh baik ini.
2023-09-25T11:07:26Z,Tidak akan efektif Krn mrk akan pindah ke platform belanja yg lain...ini konsekuensi kemajuan teknologi tidak bisa dihindari
2023-09-25T11:07:22Z,Alhamdulillah 🙏🏻😇🙏🏻😇🙏🏻😇
2023-09-25T11:07:19Z,"Ya jgn tiktok doang dong yg di larang, shopee tokopedia, lazada semuanya juga larang, emg lu pikir orang² pada belanja di tiktok shop doang, pemerintah goblok emang"
2023-09-25T11:07:05Z,"Solusi terbaik mengatur, ap bisa?
Kalo bisa bantu pak pedagang kecil kasih wadah yg tepat tuk menjalankan semua,
Permudah semua persyaratan, jgn membatasi semua dengan peraturan biar dpat berkembang"
2023-09-25T11:06:57Z,"Lah goblog, skg banyak kog umkm yg jualan di tiktok shop umkm malah pd beralih ke sosmed jamannya skg"
2023-09-25T11:06:51Z,Bukan tiktok nya pak menteri tapi barang nya kebanyakan barang impor pak kalau produsi dalam negeri masih ada membuka lapangan kerja apa ngak kasihan saudara kita pada ngak kerja apa lagi textil ini adalah yang sangat padat karya kalau texstil nya bebas penganguran yang tambah banyak secara tidak langsung kriminal pasti meningkat yang susah kita juga pak mentri
2023-09-25T11:06:24Z,Daya beli orang sudah tak kuat lagi......Kambing hitam nya aplikasi.
2023-09-25T11:06:23Z,"Gile...ini semua toko online kena, terutama dari luar😅"
2023-09-25T11:06:20Z,"Baguslah, regulasinya di perketat. Tinggal pelaksanaan nya apakah bisa semulus aturan yg berlaku. saya seller di 3 marketplace, tokped,shopee, tiktokshop. dgn membatasi produk impor dari cina semoga persaingan harga ga ancur² an."
2023-09-25T11:05:58Z,inti nya gara2 bisa jualan di tik tok toko mati semua
2023-09-25T11:05:43Z,Yang ngerusak bukan padagang aja angkutan pun ikut hancur gara gara onlen
2023-09-25T11:05:41Z,Emang boleh sesempit itu pemikiriannya 🤧
2023-09-25T11:05:27Z,"Setujuuuuu.....
Harus ada regulasi dan sangsi yg jelas.
Barang2 dari china langsung ke konsumen tanpa pajak masuk."
2023-09-25T11:05:07Z,masalahnya kadang2 yg jual offline kalo jualan ngasih harganya  nggak ngotak...orang jadi banyak beli di online karena lebih murah
2023-09-25T11:04:55Z,Kebanyakan peraturan ujungnya menjarakan rakyatnya.. Pusing hidup di negeri sendiri kayak di jaman penjajahan aja
2023-09-25T11:04:51Z,FULL CLOSING
2023-09-25T11:04:45Z,Judi online kapan???
2023-09-25T11:04:34Z,Bagi2 duit  buat kampanye boleh y
2023-09-25T11:04:31Z,Hapussss freeongkir online shop 🤣🤣🤣
2023-09-25T11:03:31Z,Bagus.. sekalian tutup semua akun judi online pak..kita negara mayoritas Islam kok pegang ranking pertama dunia sebagai pengguna judi on-line
2023-09-25T11:03:15Z,Pdhl pasar sepi bukan Krn sepenuhnya Krn tiktok.. sblm ada tiktok ada shope lazada dll
2023-09-25T11:03:14Z,Ini.era maju.bos jngan.main.larang. bisa mngurangi pengangguran..
2023-09-25T11:03:07Z,Karena pasar lokal sendiri mahal harganya pembeli nyari barang yg muraah..sekarang lgi sulit nyari uang..apalagi yg kena phk...artis apalagi sdh kaya masih ikut2an jualan kq yo serakah men..
2023-09-25T11:03:07Z,Tinggal di pajkein j napa sih.. Kan jd mahal
2023-09-25T11:03:06Z,Boss tlg di buat aturan klo ada penipuan atau barang tdk sesuai itu ada proses hukumnya...
2023-09-25T11:03:00Z,Merugikan negara kah??
2023-09-25T11:02:52Z,"kok cma batik pak? beras dll itu juga banyak loh di kita, bahkan di jaman pak Soeharto kita sampai Swasembada Pangan. jadi ngapain kita Impor juga? sampaikan ke 01 fokus pengembangan/penerapan teknologi pertanian serta kontrol harga biar bisa swasembada lagi + petani² untung 👍🏻👍🏻👍🏻"
2023-09-25T11:02:50Z,"APA GUNANYA VISI MISI JOKOWI TENTANG MEMBANGUN "" TOL LANGIT "" ?.

PEMERATAAN SINYAL INTERNET DISELURUH INDONESIA UNTUK KESEJAHTERAAN DAN PENINGKATAN EKONOMI RAKYAT.

INTERNET BUKAN UNTUK NONTON BOKEP !"
2023-09-25T11:02:31Z,Saya sangat setuju perdagangn onlen di ttup.
2023-09-25T11:02:13Z,"Jika tik tok shop sdh dilarang, tolong dong pada pemilik toko, lebih di perdulikan lagi karyawannyaterutama untuk gajinya. Kalo bisa, tolong di kuliahi karyawannya di Universitas, supaya mereka bisa lebih baik lagi taraf hidupnya. 
Jangan bilang ngga mampu yaa wahai pemilik toko, tp untuk beli mobil, beli rumah mampu. 😂😂😂"
2023-09-25T11:02:12Z,PAHLAWAN KESIANGAN
2023-09-25T11:02:10Z,Ahhhh..bukan tiktokshopnya yang harus dilarang tapi jalur peredaran barangnya yang dari china atau luar negri yang harus di batasi dengan diberikan pajak yang lebih tinggi
2023-09-25T11:01:59Z,"Aku jualan sayur keliling aja😂, gak ngaruh ada Shopee, atau lazada.... Dan tiap hari di butuhkan masyarakat.... Pokoe gak ada matinya 😂😂"
2023-09-25T11:01:43Z,Wuieeh dh mo klar blaga teegas 🤣
2023-09-25T11:01:42Z,"TIKTOK JUALAN DI LARANG,JUDI SLOT AMAN,PINJOL LANCAR. TAU KALIAN KENAPA CUNA TIKTOK YG DILARANG? KARENA GAK ADA SETORANNYA BOS. PAHAM KALIAN SAMPAI SINI"
2023-09-25T11:01:29Z,Mantap Pak
2023-09-25T11:01:25Z,MAKIN MALES BELANJA DI TOKO LANGSUNG
2023-09-25T11:01:22Z,"Kalau saya Pemerintah saya akan stop jualan lewat Online....biarkan Toko2 hidup kembali, Pasar hidup kembali.....Online2 ini menghancurkan segala2nya.....Beriklan boleh tapi Kita harus berhubungan dengan Toko.....kasihan Toko2 sudah tutup bahkan ada banyak Shop online yg ternyata dimiliki satu orang saja......"
2023-09-25T11:01:19Z,Buset gw kurir jnt skrg lgi fokus paketnya dri tiktok klo tiktok d ttup paket dri mana jnt  dlu sblm shope punya expedisi  paket bnyaknya dri shope
2023-09-25T11:01:17Z,"Lah kok cuma tik tok doang ??? 

Trs yg lain nya apa kabar ,kalau analogika nya begitu kenapa ini g berlaku sama transportasi online?? 
Kalau pedagang offline pada gulung tikar,trs apa kabar yg ojek pangkalan,kang becak angkot ??"
2023-09-25T11:01:06Z,"yang lucu kalo uda dibanned, eh pasar2 masih sepi ga rame kayak harapan..
gimana tuh? hehehe"
2023-09-25T11:00:32Z,IG juga
2023-09-25T11:00:20Z,"Dukung pak Mendag 👍
Lindungi UMKM"
2023-09-25T11:00:17Z,P
2023-09-25T11:00:09Z,Gua sebagai pembeli online gak setuju karena belanja di mall atau toko mahal mending online gratis ongkir banyak discount harga murah kualitas ok dari produsen atau pabriknya😂
2023-09-25T11:00:07Z,Maksudnya ini yg punya user di suruh tutup gitu ya?
2023-09-25T10:59:58Z,kemunduraannnnnnn
2023-09-25T10:59:56Z,👍
2023-09-25T10:59:48Z,"Meski TIKTOK SHOP lebih murah,sy ttp belanja di LAZADA."
2023-09-25T10:59:30Z,"masih tetep ada market place kaya shopee, tokopedia sama lazada. kebanyakan toko yang sepi adalah reseller ya agak percuma kalo orang yang punya pabrik ikut jualan di market place perang harganya jatuh banget tshirt biasa aja cmn 15 ribu + gratis onkir. jadi orang banyak yang beli online liat aja di bandung gedebage banyak toko yang tutup"
2023-09-25T10:58:41Z,Sudah tepat langkah pemerintah 👏🏻
2023-09-25T10:58:38Z,"ckcckck ini sih balik kejaman jadul ,era digital bos saingan bukan cuma,dr dlm ,dr luar nanti lbh ganas ,masa cuma,dr dlm saja sdh kayak begini gimana,mau menuju indonesia emas"
2023-09-25T10:58:27Z,"Seharusnya yg jual online para produsen/distributor aja sekalian. TAPIII... Harus ada minimal pembelian. Biar calon pembeli (pemakai) jg tau harga modal dr produsen segitu, Jd seller jg ga seenaknya ngasih harga yg terlalu tinggi karena pembeli tau harga modal dr produsen. Silahkan aja klo mau ambil murah yaa ambil tuh sebanyak minimal order yg ditetapkan, klo ngerasa kebanyakan yaah silahkan beli di toko offline (seller) yg belanja di online 😊"
2023-09-25T10:58:26Z,Maaf pak mending sewa tokonya yy di murahin buat usaha kecil menengahh karena. Kebnyakan toko jual mahal sewa gedungnya sudah mahallll
2023-09-25T10:58:25Z,Mencegah data pribadi dimanfaatkan utk bisnis?? 😅😅😅 becanda bapak ... sejak dulu kan gitu pakk.. yassalam
2023-09-25T10:58:21Z,Waduuh sy lagi aseekk nya blanja di tiktok ini masih COD 😂😂
2023-09-25T10:58:11Z,Hapus juga judi online
2023-09-25T10:58:10Z,Sopi Laza masih ada 😂
2023-09-25T10:58:04Z,"APUS APLIKASI CHINNA YG MERESAHKAN RAKYAT INDONESIA , MONOPOLI PERDAGANGAN CHINA DI INDONESIA VIA APLIKASI TIK-TOK.."
2023-09-25T10:58:02Z,Mentri perdagangan tapi nggak becus dagang !
2023-09-25T10:57:43Z,"Kalau China boleh berdagang di Indonesia tanpa pajak., kemendag gak kebagian uang dagangan"
2023-09-25T10:57:34Z,"""Harus Ada Regulasi Yang Tetap Agar Pasar Konvensional Dan Pasar Online Bisa Berjalan Beriringan Agar Konsumen Dan Pedagang Bisa Tetap Terjaga Dalam Kondisi Sehat Dalam Transaksi""."
2023-09-25T10:57:31Z,Gimana soal judi slot yh....ko gk segarang ke tik tok
2023-09-25T10:57:27Z,Zulkifli hasan ketua pan ya... 2024 maaf tidak akan noblos pan.. apapun yang di usung pan gak akan noblos ..
2023-09-25T10:57:03Z,"Kok cuma dilarang pak.... solusinya apa, khan mereka cari nafkah juga...khan tdk semua artis yg pakai tiktok"
2023-09-25T10:57:01Z,Bukan masalah penjual konvensional harus belajar online tapi banyak penjual online yg banting banting harga merusak pasar
2023-09-25T10:57:00Z,Mending dengerin penjelasan pak Menteri alasan dilarang
2023-09-25T10:57:00Z,"Shopee,Lazada,Tokopedia tepuk tangan 👏👏"
2023-09-25T10:56:47Z,Bagus
2023-09-25T10:56:45Z,"Apk Pinjol menghancurkan bangsa blokir dan hancurkan,yg legal maupun ilegal"
2023-09-25T10:56:40Z,aneh😂sm2 nyari duit bos
2023-09-25T10:56:36Z,"📌Setujuuuu!! Bangkit lgi usaha tetanggaku di psr👍👌tapi jgn mahal"" kalo jualan offline y? 🤭"
2023-09-25T10:56:35Z,Gak solutif
2023-09-25T10:56:35Z,Minnya belanja online barang datang lama tidak bisa melihat barang langsung hanya mengira saja.belanja offline bisa langsung di pake dan bawa pulang dan juga bisa liat langsung pcb(pantau cocok bayar)
2023-09-25T10:56:33Z,karena oknum yg tdk bertanggung jawab. emg banyak bgt penipuan sih
2023-09-25T10:56:27Z,Wuakeh tmeen aturan nya bapake....😂
2023-09-25T10:56:22Z,"Betul sekali
Krna Belanja online ini pedagang jadi hancur
Trs kadang barangnya kadang pesan lain DTG nya lain'
Tidak sesuai dengan gambar"
2023-09-25T10:56:20Z,Nanggung pak apl nya hrs di banned sekalian. Merusak pun buat generasi. 😂
2023-09-25T10:56:19Z,Matikan semua usaha online. Baru pergerakan ekonomi bisa mulai stabil 🎉🎉
2023-09-25T10:56:13Z,"""Bantu Rakyat!!!"""
2023-09-25T10:56:03Z,Serbuan barang dari China yang menghancurkan pedagang dan pengrajin lokal.
2023-09-25T10:55:33Z,Yg jualan si tik tok jg masyakat
2023-09-25T10:55:28Z,Kenapa hanya tiktok aja 🤣🤣🤣 padahal e- commorce ( tokped.shoppe.lazada dll)🤣🤣🤣
2023-09-25T10:55:11Z,Ini baru pemerintah
2023-09-25T10:55:08Z,"hnya tiktok shop aj yg di larang... Shoppe, Tokopedia dll jg di larang ga ya...?"
2023-09-25T10:55:07Z,Lalier aing mah
2023-09-25T10:54:49Z,beras gmn beras mahal woyyyy
2023-09-25T10:54:19Z,"Utak atik aturan lagi,.. hadeh 🤣🤣🤭"
2023-09-25T10:54:09Z,Negara tdk uptodate biasanya jd negara miskin😅
2023-09-25T10:54:06Z,Ini baru mantap agar pedagang Offline gak gulung tikar 👍
2023-09-25T10:54:05Z,"MANA NIH YG SUKA TRIAK TRIAK CHINA, SEKARANG PADA BELA TIKTOK😂😂"
2023-09-25T10:53:59Z,Sip
2023-09-25T10:53:44Z,Produk lokal menurut ku dibolehkan aja
2023-09-25T10:53:32Z,bagus! apa2an tiktok mau jualan jg. kocak.
2023-09-25T10:53:30Z,"Kenapa gk dibuat pelatihan untuk pedagang offline biar bisa tau cara menjual secara online,, dan membatasi akun artis atau public figure yang berjualan"
2023-09-25T10:53:25Z,Utk kebaikan bersama 👍👍👍
2023-09-25T10:53:24Z,Mudah mudahan tidak langsung direvisi lagi karena akan banyak big boss yg protes
2023-09-25T10:53:24Z,"Setuju,ini bahaya buat pasar indo. Kebayang barang lokal nilai beli nya menurun."
2023-09-25T10:52:59Z,di inggris tiktok juga di limitasi
2023-09-25T10:52:50Z,benarkah hal ini??????????? jadi Ragu jadinya..???akan terlakasana...
2023-09-25T10:52:20Z,"Kayaknya Tiktok shop masuk fase decline nihh, karena terlalu overrated"
2023-09-25T10:51:49Z,Mantap....3x..👍👍👍
2023-09-25T10:51:44Z,"Banned aja sekalian tiktok nya pak,"
2023-09-25T10:51:41Z,Jangan pilih pilih.tu Toko online banyak.LZd SHP dan banyak yg lainnya
2023-09-25T10:51:41Z,orang2 indo belum mampu menghadapi zaman.😂
2023-09-25T10:51:38Z,"Larang internet skalian lalu kembali k jaman batu, minim solusi nih pemerintah"
2023-09-25T10:51:29Z,Balik ke jaman Batu
2023-09-25T10:51:28Z,"Astaghfirullah, DZOLIM BENERAN. PEDAGANGLAH YANG HARUS MENGIKUTI ZAMAN."
2023-09-25T10:51:22Z,link nya ke shopee eh di copy shopee juga 😂. toped ajatiped rame-in
2023-09-25T10:50:48Z,Amerika Serikat udah dari dulu belanja online di Amazon ngak  hancur
2023-09-25T10:50:39Z,Shopee sekalian.. karena cara kerjanya & strateginya hampir sama…
2023-09-25T10:50:35Z,IJIN 2 PELUANG KORUPSI PAK 😂
2023-09-25T10:50:30Z,Belum sempat buka tiktok shop malah udah mau ditutup 😅
2023-09-25T10:50:21Z,Setuju pak menteri
2023-09-25T10:50:20Z,Banyakin tu lapangan pekerjaan bukan solusi tutup tiktok shop
2023-09-25T10:50:19Z,Yaaaa......selamat tinggal harga murah....😢😢😢....
2023-09-25T10:50:19Z,"Kacau , ntar lama"" jasa online jg dilarang, kacauuu"
2023-09-25T10:50:07Z,Klu dilarang berarti nggak bisa belanja di tik tok gitu ya
2023-09-25T10:49:49Z,Knp ya klo dah viral baru pda sibuk knp sebelumnya ga  di cegah instansi yg terkait kerja'a ngapain aja ya 🤦
2023-09-25T10:49:45Z,"Koruptor hukum mati, kayanya bakal lebih memajukan rakyat.."
2023-09-25T10:49:25Z,Apa sih kerja nya pemerintah sekarang ini nunggu rakyat marah baru di respon payah
2023-09-25T10:49:21Z,"PINJOL boleh? Hahahahah, lu jerumusin orang brooo"
2023-09-25T10:49:11Z,"Koruptor ajah urusin pak,jangan ganggu usaha orang
Kayak gak boleh nayri rezeki di negri ini😂😂😂😂😂😂"
2023-09-25T10:48:52Z,KEMBALI KE ZAMAN BATU.
2023-09-25T10:48:52Z,Rakyat maju pemerintahnya mundur.
2023-09-25T10:48:48Z,"Ngurusin KKB aja ga becus, ini Tiktok ngebantu orang jualan, meskipun ga punya brand gede, semuanya bisa jualan malah di ban, emang kentod"
2023-09-25T10:48:40Z,"Pinjol dipelihara, kendaraan jual online dibatasi 😂"
2023-09-25T10:48:20Z,"mentri kok gak cerdas, gak menguasai bidangnya , duh 🤦"
2023-09-25T10:48:02Z,Tiktok di blokir. Situs jeus gak di blokir hadehhh
2023-09-25T10:48:02Z,Arus tekhnologi gak bisa dibendung.. lambat laun kita tetap harus mengikuti jaman
2023-09-25T10:47:56Z,"Sekarang era digital pak, tdk bisa dilarang larang, negara yg tdk mengikuti zaman akan tergilas.."
2023-09-25T10:47:46Z,"Jiah diapus,, pdhl diinstal aj blom sempat🤦‍♂️"
2023-09-25T10:47:16Z,"Kasian toko2 di pasar skrg sepi 
Dan tik tok shop itu sangat menghancurkan harga produk"
2023-09-25T10:47:13Z,"Digitalisasi tdk bisa dihindari. Sejauh ada lembaga yg bertanggung jawab kpd konsumen, sdh cukup. Dan kembali kpd konsumennya, percaya atau tidak? Lebih baik bikin regulasi yg menyesuaikan dg jaman digital, jangan dilawan deh. Apapun itu. Indonesia tdk boleh, bisa beli via penjual di singapore atau langsung dari china koq"
2023-09-25T10:47:03Z,Demi umkn masing2 daerah ttap hidup
2023-09-25T10:47:00Z,Harus diatur jgn dilarang.jaman ini sdh berubah.hrs mengikuti jsman
2023-09-25T10:46:58Z,"Mst ny yg dilarang itu pinjol,pak..mnjamur merajalela"
2023-09-25T10:46:57Z,Zul urusin laine ngapa
2023-09-25T10:46:55Z,Kali ini pemerintah mengambil langkah yang tepat 👍🏼
2023-09-25T10:46:46Z,Yg komen negatif fix gak pernah belanja di tiktok. Belum pernah beli sandal harga seribu perak
2023-09-25T10:46:43Z,Itu pengusaha jadul ..takut kalah ma anak bau kencuur wkwkkw🤣
2023-09-25T10:46:28Z,"Yah gmna ini, udah beli di tiktop shop"
2023-09-25T10:46:23Z,Masalahnya orang lebih suka belanja online karena murah
2023-09-25T10:46:00Z,Pinjol dan judi online kapan diberantas.?? Itu apps kagak ada memberi manfaat blas.
2023-09-25T10:45:56Z,"Koyok komunis aja,tidak siap persaingan...kapan indonesia mau maju"
2023-09-25T10:45:41Z,Aturan nya bukan cuma aplikasi tiktok aja aturan aplikasi penjol lain ya harus di blok dan judi juga
2023-09-25T10:45:32Z,Gk ada kerjaan lg bos aneh2aja
2023-09-25T10:45:04Z,lucu tdk mampu bersaing
2023-09-25T10:45:00Z,Setujuu !!!!! Toko offline jadi sepi pak ! Diskonnya ngawurr
2023-09-25T10:44:56Z,Nah gitu dong sat set sat set
2023-09-25T10:44:52Z,"Sudah tak memberikan lapangam pekerjaan,menutup aplikasi lagi hmm kawan kawan itu saja la yg bisa kau kerjakan,tu judi slot tutup kalau kau memang bisa kerja"
2023-09-25T10:44:28Z,Iklan itu gmn ..🤣🤣.
2023-09-25T10:44:28Z,ooowww sy sepakat kalo bgini pengaturannya
2023-09-25T10:44:19Z,Baru ajh download kata ny banyak brang murah 😮
2023-09-25T10:44:06Z,"Pinjol royal,,tiktok pelit 😅"
2023-09-25T10:44:06Z,Aturan opo iki?😊😅😅
2023-09-25T10:44:01Z,setujuuu
